CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
790533604,Existing Customer,42,F,3,High School,Divorced,$40K - $60K,Blue,36,4,2,2,1648.1,1834,14051,1.28323812,4404,50,0.789608269,0.432831034
808472193,Existing Customer,40,F,3,High School,Married,Less than $40K,Blue,42,4,3,2,3119.7,1070,12981.1,0.71406321,3951,55,0.636769125,0.584226381
721449235,Existing Customer,38,M,2,High School,Married,$40K - $60K,Blue,43,5,1,3,4493.3,2028,5497.2,0.857325975,4611,88,0.684783432,0.786887648
719917238,Existing Customer,52,M,2,High School,Single,Unknown,Silver,46,2,3,2,34372,2517,34013.5,0.836095732,13528,82,0.437965257,0.070150157
746685753,Attrited Customer,52,F,2,Uneducated,Married,Less than $40K,Blue,43,2,2,3,2248.7,2478,1781.3,0.875040903,1954,37,0.69339565,0.686774388
711601741,Existing Customer,50,M,3,High School,Married,$120K +,Blue,29,6,1,3,32048.8,1491,13141.3,0.674912924,821,28,0.600275865,0.057560647
818857688,Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,39,5,3,3,1538.5,1377,489.2,0.925558467,4403,77,0.628367731,0.665430494
721078763,Existing Customer,33,F,5,Post-Graduate,Unknown,Less than $40K,Blue,38,4,3,4,1754.5,2089,4169.8,0.70544939,4303,44,0.682279259,0.213313687
709221112,Attrited Customer,53,F,4,Graduate,Single,$40K - $60K,Blue,30,2,3,2,4138.8,1621,1318,0.637643814,4215,91,0.627789467,0.319257374
781194744,Existing Customer,42,M,4,Uneducated,Divorced,$120K +,Blue,28,3,2,4,31477.3,1088,34516,0.760061328,1042,48,0.35880393,0.032472399
708869441,Existing Customer,51,F,2,High School,Single,Unknown,Silver,27,4,2,1,13704,1614,28979.4,0.69491047,1791,32,0.931610844,0.061535669
773920118,Attrited Customer,53,F,2,Graduate,Single,Less than $40K,Blue,36,6,3,3,3020.5,1508,449,0.853869858,1802,63,0.578279531,0.802605468
711537675,Existing Customer,50,M,3,Uneducated,Single,Less than $40K,Blue,36,4,1,3,23882.3,1825,4887.3,0.580450942,1040,38,0.606514175,0.128895665
771230350,Existing Customer,49,M,1,Post-Graduate,Single,$80K - $120K,Blue,35,1,3,3,5883.7,2177,16313.8,0.753757283,1719,93,0.553258817,0.142900418
717887658,Existing Customer,61,M,2,Graduate,Married,$80K - $120K,Blue,51,2,3,2,2767,1779,6150.4,0.721372585,4607,127,0.648335167,0.145033126
709402088,Existing Customer,51,F,3,Uneducated,Divorced,$40K - $60K,Blue,30,5,3,2,2283.2,1766,1191.6,0.752767754,4300,75,0.747396819,0.642033886
717666058,Attrited Customer,44,M,1,Uneducated,Married,$80K - $120K,Blue,44,5,2,3,5424.8,0,21460.4,1.044020745,1144,51,0.567785266,0
775202861,Existing Customer,53,M,1,Uneducated,Married,Unknown,Blue,44,4,1,3,19966.5,1682,22794.2,0.82255259,1487,59,0.545217078,0.116009476
818305042,Existing Customer,39,F,2,Uneducated,Single,Less than $40K,Blue,36,2,2,3,5872.8,851,11893,0.783520786,1212,60,0.51017486,0.53375746
716649960,Existing Customer,54,F,1,College,Married,Less than $40K,Blue,19,3,1,2,8625.8,0,2120.9,0.796512539,3351,23,0.798748428,0
713912565,Existing Customer,56,F,3,Graduate,Single,$40K - $60K,Blue,42,6,1,1,15984.1,1324,14642.7,0.815263429,2226,80,0.923187302,0.573073853
